Wet,σc,Source,σt,No.,σθ,MR
3.97,190.3,[14],17.13,1,89.56,2
5.76,170.28,[14],12.07,2,89.56,2
7.27,187.17,[14],19.17,3,89.56,2
7.44,131.99,[13],9.44,4,56.1,2
7.08,133.99,[13],9.09,5,54.2,2
6.43,128.52,[13],8.73,6,70.3,2
5,180,"[2,6]",8.3,7,48.75,3
5,175,"[2,6]",7.25,8,62.5,3
5,180,"[2,6]",8.3,9,75,3
5,180,"[2,6]",8.3,10,57,3
5,236,"[2,6]",8.3,11,89,3
5,130,"[2,6]",6,12,50,3
5.5,140,"[2,6]",8,13,108,4
7.4,178,"[2,6]",5.7,14,18.8,1
5.7,115,"[2,6]",5,15,11,1
9.3,176,"[2,6]",7.3,16,55.4,3
5.8,120,[7],1.5,17,48,3
5.7,115,[7],1.5,18,63,3
5.7,110,[7],1.5,19,49.5,3
3.2,82.56,[9],6.5,20,30.9,2
4.9,128.6,[9],13.2,21,89,4
6.9,237.1,[9],17.66,22,12.3,4
9.1,256.5,[8],18.9,23,55.6,3
7.3,225.6,[8],17.2,24,91.3,2
7.5,171.5,[8],22.6,25,61,2
3.17,54.2,[9],12.1,26,34.15,2
1.9,138.4,[9],7.7,27,108.4,4
4.68,198,[9],22.4,28,69.8,2
7.27,171.3,[9],22.6,29,105,4
6.38,237.16,[9],17.66,30,105,4
10.57,304.21,[9],20.9,31,105,4
3.17,54.2,[10],2.49,32,25.49,2
6.53,147.09,[10],19.98,33,72.07,3
2.22,160,[11],5.2,34,21.8,1
2.22,160,[11],5.2,35,20.9,1
1,1,1,1,36,1,1
2.22,170,[11],5.2,37,12.1,2
9,170,[2],11.3,38,75,3
5,123,[2],6,39,43.4,3
9,165,[2],9.4,40,62.6,3
6.6,88.7,[2],3.7,41,30,3
5.76,128.61,[9],13,42,105,4
5.76,304,[9],9.12,43,105,3
6.38,306.58,[9],13.9,44,105,4
1.3,52,[12],3.7,45,7.5,1
3.8,99.7,[12],4.8,46,24.93,1
