No.,σc,SCF,B1,Wet,MR,Kv
1,157.6,0.58,13.2,6.3,3,0.79
2,148.4,0.45,17.5,5.1,2,0.68
3,132.1,0.39,20.9,4.6,2,0.65
4,107.5,0.20,41.0,1.7,0,0.50
5,167.2,0.66,13.2,6.8,3,0.82
6,165.0,0.38,17.5,4.5,1,0.56
7,78.7,0.41,29.7,3.3,0,0.64
8,178.0,0.11,31.2,3.7,0,0.71
9,150.0,0.23,27.8,3.9,0,0.59
10,170.0,0.53,15.0,6.5,2,0.70
11,181.0,0.42,21.7,4.5,2,0.67
12,180.0,0.39,21.7,5.0,2,0.73
13,115.0,0.10,23.0,4.7,0,0.52
14,140.0,0.44,26.9,5.5,2,0.78
15,120.0,0.81,18.5,3.8,2,0.68
16,220.1,0.41,29.4,7.3,1,0.64
17,80.3,0.59,22.9,5.0,1,0.63
18,82.4,0.54,17.5,6.6,1,0.61
19,130.0,0.38,19.7,5.0,2,0.69
20,236.0,0.38,28.4,5.0,1,0.58
